roinum	x	y	z	v1	v2	v3	v4
1	149	83	23	3.34911	0.939819	2083	1508
1	150	83	23	3.547347	1.091157	2015	1496
1	125	84	23	3.414984	0.7166203	1914	1057
1	126	84	23	3.638463	0.6854089	1943	1031
1	135	84	23	3.572281	0.954721	1909	1363
1	136	84	23	3.355574	0.9340238	1948	1345
1	137	84	23	3.060988	0.9944597	1896	1409
1	138	84	23	2.768556	1.065989	1878	1527
1	139	84	23	2.546616	1.078739	1847	1585
1	140	84	23	2.435492	1.025754	1908	1552
1	141	84	23	2.456116	0.9657319	1850	1587
1	142	84	23	2.564162	0.9502504	1918	1506
1	143	84	23	2.65066	0.9716927	1956	1548
1	144	84	23	2.66759	1.000089	1975	1519
1	145	84	23	2.678364	1.0212	1943	1586
1	146	84	23	2.775944	1.019876	2012	1510
1	147	84	23	2.993575	0.9764945	1948	1460
1	148	84	23	3.300166	0.929636	2062	1454
1	149	84	23	3.623072	0.9790609	2105	1437
1	150	84	23	3.823464	1.161776	2046	1440
1	125	85	23	3.429451	0.7666247	1921	1060
1	126	85	23	3.732041	0.7181105	1906	1091
1	135	85	23	3.365732	0.8985902	1925	1338
1	136	85	23	3.123168	0.8889867	1919	1322
1	137	85	23	2.866136	0.971196	1891	1424
1	138	85	23	2.66205	1.073357	1855	1474
1	139	85	23	2.538305	1.116076	1858	1538
1	140	85	23	2.515834	1.084617	1910	1590
1	141	85	23	2.608489	1.038421	1894	1638
1	142	85	23	2.746701	1.03544	1859	1519
1	143	85	23	2.82027	1.064168	1956	1546
1	144	85	23	2.803648	1.075013	1962	1575
1	145	85	23	2.781177	1.048024	1982	1538
1	146	85	23	2.861826	0.9980196	2021	1495
1	147	85	23	3.083766	0.9500849	2192	1427
1	148	85	23	3.410366	0.9478496	2227	1389
1	149	85	23	3.751126	1.044795	2108	1359
1	150	85	23	3.946901	1.236783	2135	1344
1	124	86	23	3.100697	0.9375837	1944	1053
1	125	86	23	3.415599	0.8608385	1955	1070
1	126	86	23	3.768672	0.8212654	1915	1096
1	127	86	23	3.932433	0.8258188	1838	995
1	134	86	23	3.457463	0.9091043	1929	1324
